timestamp,total_water_quantity_ticks,total_water_products_ticks,total_water_rinse_ticks,total_water_cleaning_ticks,rfu,total_coffee_bean_quantity_g,total_coffee_beans_left_rear_g,total_coffee_beans_right_front_g,total_coffee_powder_chute_g,cleaning_counter,brewcycles_left,brewcycles_right,cycles_rinse_clean_left,cycles_rinse_clean_right,time_milk_cs,heating_time_boiler_left_cs,heating_time_boiler_right_cs,time_hot_water_cs,time_steam_left_cs,time_steam_right_cs,heat_time_steam_boiler_1_cs,heat_time_steam_boiler_2_cs,time_air_pump_cs,milk_cycles_left,milk_cycles_right,reset_date_day,reset_date_month,reset_date_year,rfu2,reset_time_second,reset_time_minute,reset_time_hour,rfu3,time_milk_steam_left_cs,time_milk_steam_right_cs,total_coffee_beans_grinder_adjustment_g,absolute_counter,time_powder_cs,total_powder_quantity_left_g,total_powder_quantity_right_g,total_coffee_beans_3_g,total_coffee_beans_4_g
1782891924,492652,172815,115797,202820,0,22147,9033,11120,0,77,1559,0,401,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157615,0,331,2072,0,0,0,1663,0
1782892244,492752,172866,115846,202820,0,22178,9042,11142,0,77,1561,0,401,0,89855,0,0,104,0,0,0,0,69386,591,0,12,6,25,0,23,36,15,0,157615,0,331,2075,0,0,0,1663,0
1782892378,492752,172866,115846,202820,0,22178,9042,11142,0,77,1561,0,401,0,89855,0,0,104,0,0,0,0,69386,591,0,12,6,25,0,23,36,15,0,157615,0,331,2075,0,0,0,1663,0
1782892387,492752,172866,115846,202820,0,22178,9042,11142,0,77,1561,0,401,0,89855,0,0,104,0,0,0,0,69386,591,0,12,6,25,0,23,36,15,0,157615,0,331,2075,0,0,0,1663,0
1782895705,492792,172866,115886,202820,0,22178,9042,11142,0,77,1561,0,401,0,89855,0,0,104,0,0,0,0,69386,591,0,12,6,25,0,23,36,15,0,157700,0,331,2075,0,0,0,1663,0
1782896027,492872,172946,115886,202820,0,22194,9058,11142,0,77,1562,0,401,0,89855,0,0,104,0,0,0,0,69386,591,0,12,6,25,0,23,36,15,0,157700,0,331,2077,0,0,0,1663,0
1782896101,492872,172946,115886,202820,0,22194,9058,11142,0,77,1562,0,401,0,89855,0,0,104,0,0,0,0,69386,591,0,12,6,25,0,23,36,15,0,157700,0,331,2077,0,0,0,1663,0
1782896160,492941,173015,115886,202820,0,22194,9058,11142,0,77,1562,0,401,0,89855,0,0,104,0,0,0,0,69537,591,0,12,6,25,0,23,36,15,0,157700,0,331,2077,0,0,0,1663,0
1782896224,493030,173055,115935,202820,0,22212,9076,11142,0,77,1564,0,401,0,90045,0,0,104,0,0,0,0,69537,592,0,12,6,25,0,23,36,15,0,157700,0,331,2079,0,0,0,1663,0
1782896225,493030,173055,115935,202820,0,22212,9076,11142,0,77,1564,0,401,0,90045,0,0,104,0,0,0,0,69537,592,0,12,6,25,0,23,36,15,0,157700,0,331,2079,0,0,0,1663,0
